Date,Std_AAO
2021-11,1.321
2021-12,2.155
2022-01,0.825
2022-02,0.643
2022-03,0.558
2022-04,0.532
2022-05,0.096
2022-06,-0.871
2022-07,0.447
2022-08,0.731
2022-09,1.469
2022-10,0.33
2022-11,1.713
2022-12,1.7
2023-01,2.304
2023-02,0.554
2023-03,-0.258
2023-04,-0.921
2023-05,1.452
2023-06,-0.438
2023-07,-0.818
2023-08,-0.038
2023-09,-1.05
2023-10,0.535
2023-11,0.097
2023-12,1.51
